DCTPepD_ID,ClinicalTrials.gov_Identifier,Title,Condition_or_disease,Phase,Purpose
DCTPepD0091,NCT01560923,"A Randomized, Double-Blind Phase II Study of Sipuleucel-T (Provenge®) Followed by Indoximod or Placebo in the Treatment of Patients With Asymptomatic or Minimally Symptomatic Metastatic Castration Resistant Prostate Cancer",Metastatic Prostate Cancer,Phase 2,Treatment
DCTPepD0091,NCT02835729,A Phase 1 Trial of Indoximod in Combination With Idarubicin and Cytarabine in Patients With Newly Diagnosed Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Phase 1,Treatment
DCTPepD0091,NCT03301636,A Phase 2/3 (Adaptive Design) Study of the Concomitant Administration of Indoximod or Placebo Plus Pembrolizumab or Nivolumab in Adult Patients With Unresectable Stage III or Stage IV Malignant Melanoma,Melanoma,Phase 2/3,Treatment
DCTPepD0091,NCT05106296,Repurposing Ibrutinib for Chemo-Immunotherapy in a Phase 1b Study of Ibrutinib With Indoximod Plus Metronomic Cyclophosphamide and Etoposide for Pediatric Patients With Brain Cancer,Ependymoma; Medulloblastoma; Glioblastoma; Primary Brain Tumor,Phase 1,Treatment
DCTPepD0091,NCT01042535,A Phase 1/2 Study of Ad.p53 DC Vaccine in Combination With 1-methyl-D-tryptophan in Metastatic Solid Tumors and Invasive Breast Cancer,"Male Breast Cancer; Recurrent Breast Cancer; Stage IV Breast Cancer; Unspecified Adult Solid Tumor, Protocol Specific",Phase 1/2,Treatment
DCTPepD0092,NCT04341311,Phase 1 Trial of Marizomib Alone and in Combination With Panobinostat for Children With Diffuse Intrinsic Pontine Glioma,"Diffuse Intrinsic Pontine Glioma; Pediatric Brainstem Glioma; Pediatric Brainstem Gliosarcoma, Recurrent; Pediatric Cancer; Pediatric Brain Tumor; Diffuse Glioma",Phase 1,Treatment
DCTPepD0092,NCT02103335,"A Phase 1, Multicenter, Open-label, Dose-Escalation Combination Study of Pomalidomide, Marizomib, and Low-Dose Dexamethasone in Subjects With Relapsed and Refractory Multiple Myeloma",Multiple Myeloma in Relapse; Refractory Multiple Myeloma; Multiple Myeloma,Phase 1,Treatment
DCTPepD0092,NCT00667082,"NPI-0052 and Vorinostat in Patients With Non-small Cell Lung Cancer, Pancreatic Cancer, Melanoma or Lymphoma",Non-Small Cell Lung Cancer; Pancreatic Cancer; Melanoma; Lymphoma; Multiple Myeloma,Phase 1,Treatment
DCTPepD0092,NCT00629473,A Phase 1 Clinical Trial of NPI-0052 in Patients With Advanced Malignancies,Advanced Cancer,Phase 1,Treatment
DCTPepD0092,NCT03345095,A Phase III Trial of Marizomib in Combination With Standard Temozolomide-based Radiochemotherapy Versus Standard Temozolomide-based Radiochemotherapy Alone in Patients With Newly Diagnosed Glioblastoma,Newly Diagnosed Glioblastoma,Phase 3,Treatment
DCTPepD0093,NCT01299636,"Phase I, Multicenter, Open-label, Dose-escalating, Clinical and Pharmacokinetic Study of PM060184 Administered Intravenously to Patients With Advanced Solid Tumors",Solid Tumors,Phase 1,Treatment
DCTPepD0093,NCT03427268,"A Phase II, Open-label, Multicentre Study of PM060184 in Patients With Advanced Colorectal Cancer After Standard Treatment.",Advanced Colorectal Cancer,Phase 2,Treatment
DCTPepD0093,NCT02533674,"Phase I Multicenter, Open-label, Clinical and Pharmacokinetic Study of PM060184 in Combination With Gemcitabine in Selected Patients With Advanced Solid Tumors",Solid Tumors,Phase 1,Other
DCTPepD0094,NCT00683085,Phase I/II Trial of Human Leukocyte Antigen (HLA)-A*02:01-restricted Vascular Endothelial Growth Factor Receptor 1 (VEGFR1)-Derived Peptide Vaccination Combined With Conventional Dose of Gemcitabine for Advanced Pancreatic Cancer,Pancreatic Cancer; Pancreas Neoplasms,Phase 1/2,Treatment
DCTPepD0095,NCT00005949,"Phase II Study of Melanoma Vaccine (NSC #683472/675756, IND #6123) and Low-Dose, Subcutaneous Interleukin-2 in Advanced Melanoma",Recurrent Melanoma; Stage IV Melanoma,Phase 2,Treatment
DCTPepD0095,NCT00020475,Phase II Study of gp100:209-217 (210M) Antigen and MART-1:26-35 (27L) Antigen Emulsified in Montanide ISA-51 in Patients With Metastatic Ocular Melanoma,Extraocular Extension MelanomaRecurrent Intraocular Melanoma,Phase 2,Treatment
DCTPepD0095,NCT00001705,Immunization of Patients With Metastatic Melanoma Using the GP100 Peptide Preceded by an Endoplasmic Reticulum Insertion Signal Sequence,Melanoma; Neoplasm Metastasis,Phase 2,Treatment
DCTPepD0096,NCT00433745,Wilm's Tumor 1 (WT1) Peptide Vaccination for Patients With High Risk Hematological Malignancies,Myelodysplastic Syndrome; Acute Myeloid Leukemia (AML); Chronic Myeloid Leukemia (CML),Phase 2,Treatment
DCTPepD0096,NCT00488592,Efficacy of Peptide (WT1) and Peptide(PRI) Vaccination for Patients With Low Risk Myeloid Malignancies,Myelodysplastic Syndrome (MDS); Acute Myeloid Leukemia (AML); Chronic Myeloid Leukemia (CML),Phase 2,Treatment
DCTPepD0097,NCT00488592,Efficacy of Peptide (WT1) and Peptide(PRI) Vaccination for Patients With Low Risk Myeloid Malignancies,Myelodysplastic Syndrome (MDS); Acute Myeloid Leukemia (AML); Chronic Myeloid Leukemia (CML),Phase 2,Treatment
DCTPepD0097,NCT00004918,A Phase I/II Study of PR1 (NSC 698102) Human Leukemia Peptide Vaccine With Montanide ISA 51 (NSC 675756) or Montanide ISA 51 VG (NSC 737063) Adjuvant,Accelerated Phase Chronic Myelogenous Leukemia; Adult Acute Myeloid Leukemia in Remission; Chronic Phase Chronic Myelogenous Leukemia; Previously Treated Myelodysplastic Syndromes; Refractory Anemia With Excess Blasts; Refractory Anemia With Excess Blasts in Transformation; Relapsing Chronic Myelogenous Leukemia,Phase 1/2,Treatment
DCTPepD0098,NCT00194714,Phase I/II Study of Combination Immunotherapy for the Generation of HER-2/Neu (HER2) Specific Cytotoxic T Cells (CTL) in Vivo,HER2/Neu Positive; HLA-A2 Positive Cells Present; Stage IV Breast Cancer; Stage IV Ovarian Cancer,Phase 1/2,Treatment
DCTPepD0098,NCT00068614,A Phase I Trial Evaluating The Safety Of Intramuscular Injections Of HER-2 Protein AUTOVAC (PX104.1.6) In Patients With Breast Cancer,Breast Cancer,Phase 1,Treatment
DCTPepD0098,NCT00005023,A Phase I Vaccine Trial of a HER-2/Neu Peptide Incorporated Into PLG Microspheres in Patients With Advanced Stage HER2-Expressing Cancers,Breast Cancer; Lung Cancer; Ovarian Cancer,Phase 1,Treatment
DCTPepD0099,NCT04114825,"A Phase 2, Double-Blind, Placebo Controlled Study of RV001V in Men With Biochemical Failure Following Curatively Intended Therapy For Localized Prostate Cancer (BRaVac)",Prostate Cancer Recurrent,Phase 2,Treatment
DCTPepD0099,NCT03199872,"A Phase I/II Study of RV001V, a RhoC Anticancer Vaccine, Against Metastasis From Solid Tumours",Prostate Cancer,Phase 1/2,Treatment
DCTPepD0100,NCT00470574,Pilot Study of Immunization of High Risk Breast Cancer Patients With a Sialyl Lewisª -Keyhole Limpet Hemocyanin Conjugate Plus the Immunological Adjuvant QS-21,Breast Cancer,Not Applicable,Treatment
DCTPepD0100,NCT00036933,Vaccination Of Prostate Cancer Patients With A Bivalent Vaccine Containing MUC-2 Glycopeptide And Globo H Conjugates Plus The Immunological Adjuvant QS21,Prostate Cancer,Phase 1,Treatment
DCTPepD0100,NCT00004249,Immunization Using Polysialic Acid-KLH or N-Propionylated Polysialic Acid-KLH Conjugate Plus the Immunological Adjuvant QS-21 in Patients With Small Cell Lung Cancer Who Have Achieved a Major Response to Initial Therapy,Lung Cancer,Phase 2,Treatment
DCTPepD0100,NCT00004156,Vaccination of High Risk Breast Cancer Patients With MUC-1 (Glycosylated) Keyhole Limpet Hemocyanin Conjugates Plus the Immunological Adjuvant QS21,Breast Cancer,Phase 1,Treatment
DCTPepD0100,NCT05638698,Phase II Randomized Trial Combining Tg01 Vaccine / Qs-21 Stimulon™ With Or Without Balstilimab As Maintenance Therapy Following Adjuvant Chemotherapy In Patients With Resected Pancreatic Cancer(TESLA),Pancreas Cancer,Phase 2,Treatment
DCTPepD0101,NCT00939809,"A Phase II Evaluation of a Urokinase-Derived Peptide (A6) in the Treatment of Persistent or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma",Fallopian Tube Carcinoma; Malignant Ovarian Mixed Epithelial Tumor; Ovarian Brenner Tumor; Ovarian Clear Cell Cystadenocarcinoma; Ovarian Endometrioid Adenocarcinoma; Ovarian Mucinous Cystadenocarcinoma; Ovarian Serous Cystadenocarcinoma; Primary Peritoneal Carcinoma; Recurrent Ovarian Carcinoma; Undifferentiated Ovarian Carcinoma,Phase 2,Treatment
DCTPepD0102,NCT02019524,Phase Ib Trial of Two Folate Binding Protein (FBP) Peptide Vaccines (E39 and J65) in Breast and Ovarian Cancer Patients,Breast Cancer; Ovarian Cancer,Phase 1,Treatment
DCTPepD0102,NCT01580696,Phase I/IIa Trial of Folate Binding Protein (FBP) Peptide (E39) Vaccine in Ovarian and Endometrial Cancer Patients,Ovarian Cancer; Endometrial Cancer; Fallopian Cancer; Peritoneal Cancer,Phase 1/2,Treatment
DCTPepD0103,NCT02019524,Phase Ib Trial of Two Folate Binding Protein (FBP) Peptide Vaccines (E39 and J65) in Breast and Ovarian Cancer Patients,Breast Cancer; Ovarian Cancer,Phase 1,Treatment
DCTPepD0103,NCT01580696,Phase I/IIa Trial of Folate Binding Protein (FBP) Peptide (E39) Vaccine in Ovarian and Endometrial Cancer Patients,Ovarian Cancer; Endometrial Cancer; Fallopian Cancer; Peritoneal Cancer,Phase 1/2,Treatment
DCTPepD0104,NCT00066729,"A Phase I Study Of NY-ESO-1b Peptide Plus Montanide ® ISA-51 In Patients With Ovarian, Primary Peritoneal, Or Fallopian Tube Cancer",Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer,Phase 1,Treatment
DCTPepD0104,NCT00199836,A Pilot Study of NY-ESO-1b Peptide Plus CpG 7909 and Montanide® ISA-51 in Patients With Cancer Expressing NY-ESO-1 or LAGE-1.,Cancer; Neoplasm,Phase 1,Treatment
DCTPepD0105,NCT00068211,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Once Every 3 Weeks in Patients With Inoperable Locally Advanced or Metastatic Melanoma.,Melanoma,Phase 2,Treatment
DCTPepD0105,NCT00082134,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Every 21 Days in Patients With Hormone-Refractory Prostate Cancer Previously Treated With Docetaxel,Hormone-refractory Prostate Cancer,Phase 2,Treatment
DCTPepD0105,NCT00078455,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Once Every 3 Weeks in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Carcinoma,Non-Small-Cell Lung Carcinoma,Phase 2,Treatment
DCTPepD0106,NCT00911443,"A Phase II, Multicentre, Open, Randomised, Dose Ranging Study to Investigate the Efficacy of Combination Therapy Containing Dacarbazine (DTIC) Plus Low Dose Interferon Alpha (aIFN) Plus Thymosin a1 Versus Both DTIC Plus Thymosin a1 and DTIC Plus aIFN in Patients With Advanced -Stage Metastatic Malignant Melanoma",Malignant Melanoma,Phase 2,Treatment
DCTPepD0106,NCT00082082,A Trial of Thymalfasin With Trans Arterial Chemo-Embolization (TACE) in the Treatment of Adult Patients With Unresectable Hepatocellular Carcinoma: A Phase II Trial,"Carcinoma, Hepatocellular",Phase 2,Treatment
DCTPepD0106,NCT02787447,A Phase II Trial of Hypofractionated Radiotherapy Combined With Thymosin for Metastatic NSCLC Patients Who Showed Stable Disease After First Line TKI Therapy,Lung Adenocarcinoma,Phase 2,Treatment
DCTPepD0106,NCT02545751,"A Phase II Study of Stereotactic Body Radiation Therapy and ZADAXIN's® (Thymalfasin) Induced Tumor Effects in Patients With Heavily Pretreated, Metastatic Esophageal Cancer",Esophageal Cancer; Metastatic Esophageal Cancer; Stereotactic Body Radiation Therapy; Thymalfasin,Phase 2,Treatment
DCTPepD0106,NCT05086614,The Efficacy and Safety of Thymosin-alpha 1 Used for Adjuvant Treatment After Radical Resection of High-risk Stage II and Stage III Colorectal Cancer,Stage II/III Colorectal Cancer,Phase 3,Treatment
DCTPepD0107,NCT02924272,"An Open-Label, Rollover Protocol for Patients Previously Enrolled in Millennium-Sponsored Ixazomib Studies",Multiple Myeloma; Lymphoma; Amyloidosis,Phase 2,Treatment
DCTPepD0107,NCT03616782,Multicenter Phase II Study of Ixazomib Maintenance in Patients With Newly Diagnosed Mantle Cell Lymphoma,Mantle Cell Lymphoma,Phase 2,Treatment
DCTPepD0107,NCT02302846,Phase II Study Of Ixazomib As Maintenance Therapy For Patients With Acute Myeloid Leukemia (AML) And High Risk Myelodysplastic Syndrome (MDS) In Remission,Leukemia,Phase 2,Treatment
DCTPepD0107,NCT02993094,Ixazomib (MLN9708) in Combination With Carboplatin in Pretreated Women With Advanced Triple Negative Breast Cancer,Triple-Negative Breast Cancer,Phase 1/2,Treatment
DCTPepD0107,NCT02181413,"A Phase 3, Randomized, Placebo-Controlled, Double-Blind Study of Oral Ixazomib Citrate (MLN9708) Maintenance Therapy in Patients With Multiple Myeloma Following Autologous Stem Cell Transplant",Multiple Myeloma; Autologous Stem Cell Transplant,Phase 3,Treatment
DCTPepD0108,NCT04534322,An Expanded Access Program Protocol for Melphalan Flufenamide in Combination With Dexamethasone in Patients With Triple Class Refractory Multiple Myeloma,Relapsed and/or Refractory Multiple Myeloma,Expanded Access Program (Approved for marketing),Treatment
DCTPepD0108,NCT03151811,"A Randomized, Controlled, Open-label, Phase 3 Study of Melflufen/Dexamethasone Compared With Pomalidomide/Dexamethasone for Patients With Relapsed Refractory Multiple Myeloma Who Are Refractory to Lenalidomide",Multiple Myeloma,Phase 3,Treatment
DCTPepD0108,NCT03481556,An Open-Label Phase 1/2a Study of the Safety and Efficacy of Melflufen and Dexamethasone in Combination With Either Bortezomib or Daratumumab in Patients With Relapsed or Relapsed-Refractory Multiple Myeloma,Multiple Myeloma,Phase 1/2,Treatment
DCTPepD0108,NCT03639610,A Study of the Pharmacokinetics of Melphalan During Treatment With Melflufen and Dexamethasone in Patients With Relapsed Refractory Multiple Myeloma and Impaired Renal Function,Renal Impairment; Multiple Myeloma,Phase 2,Treatment
DCTPepD0108,NCT04649060,"A Randomized, Controlled, Open-Label Phase 3 Study of Melflufen in Combination With Daratumumab Compared With Daratumumab in Patients With Relapsed or Relapsed-Refractory Multiple Myeloma",Relapsed Multiple Myeloma; Relapsed-Refractory Multiple Myeloma,Phase 3,Treatment
